CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Tulare_01.01.2003-06.21.2013
357978N1190798W001,24S27E32K001M,1/27/2005,00:00,,9 - Acoustical sounder,421.000,0.000,421.000,543.220,542.720,122.220,420.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357978N1190798W001,24S27E32K001M,10/17/2005,00:00,7 - Special/Other,,,,,543.220,542.720,,,,,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357978N1190798W001,24S27E32K001M,1/9/2006,00:00,7 - Special/Other,,,,,543.220,542.720,,,,,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357978N1190798W001,24S27E32K001M,1/8/2007,00:00,7 - Special/Other,,,,,543.220,542.720,,,,,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357978N1190798W001,24S27E32K001M,10/15/2007,00:00,,9 - Acoustical sounder,455.000,0.000,455.000,543.220,542.720,88.220,454.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357978N1190798W001,24S27E32K001M,1/29/2008,00:00,7 - Special/Other,,,,,543.220,542.720,,,,,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357978N1190798W001,24S27E32K001M,10/6/2008,00:00,7 - Special/Other,,,,,543.220,542.720,,,,,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357978N1190798W001,24S27E32K001M,1/15/2009,00:00,7 - Special/Other,,,,,543.220,542.720,,,,,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357978N1190798W001,24S27E32K001M,10/20/2006,00:00,7 - Special/Other,,,,,543.220,542.720,,,,,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
357978N1190798W001,24S27E32K001M,1/11/2010,00:00,9 - Temporarily inaccessible,,,,,543.220,542.720,,,,,Department of Water Resources,Voluntary,,Tulare_01.01.2003-06.21.2013
