CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,LosAngeles_01.01.1990-12.31.1996
339090N1182940W002,,11/28/1995,00:00,,,128.440,0.000,128.440,86.440,86.440,-42.000,128.440,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339090N1182940W002,,4/9/1996,00:00,,2 - Nearby pump operating,139.860,0.000,139.860,86.440,86.440,-53.420,139.860,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339090N1182940W002,,4/18/1996,00:00,,2 - Nearby pump operating,153.720,0.000,153.720,86.440,86.440,-67.280,153.720,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339090N1182940W002,,5/30/1996,00:00,,2 - Nearby pump operating,143.710,0.000,143.710,86.440,86.440,-57.270,143.710,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339090N1182940W002,,5/31/1996,00:00,,2 - Nearby pump operating,148.450,0.000,148.450,86.440,86.440,-62.010,148.450,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339090N1182940W002,,6/5/1996,00:00,,2 - Nearby pump operating,151.880,0.000,151.880,86.440,86.440,-65.440,151.880,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339090N1182940W002,,6/28/1996,00:00,,,156.690,0.000,156.690,86.440,86.440,-70.250,156.690,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339090N1182940W002,,7/11/1996,00:00,,,156.170,0.000,156.170,86.440,86.440,-69.730,156.170,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339090N1182940W002,,7/26/1996,00:00,,,138.250,0.000,138.250,86.440,86.440,-51.810,138.250,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339090N1182940W003,,11/28/1995,00:00,,,123.580,0.000,123.580,86.440,86.440,-37.140,123.580,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339090N1182940W003,,4/9/1996,00:00,,2 - Nearby pump operating,145.900,0.000,145.900,86.440,86.440,-59.460,145.900,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339090N1182940W003,,4/18/1996,00:00,,2 - Nearby pump operating,148.640,0.000,148.640,86.440,86.440,-62.200,148.640,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339090N1182940W003,,5/30/1996,00:00,,2 - Nearby pump operating,141.580,0.000,141.580,86.440,86.440,-55.140,141.580,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339090N1182940W003,,5/31/1996,00:00,,2 - Nearby pump operating,144.650,0.000,144.650,86.440,86.440,-58.210,144.650,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339090N1182940W003,,6/5/1996,00:00,,2 - Nearby pump operating,142.830,0.000,142.830,86.440,86.440,-56.390,142.830,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339090N1182940W003,,6/28/1996,00:00,,,155.870,0.000,155.870,86.440,86.440,-69.430,155.870,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339090N1182940W003,,7/11/1996,00:00,,2 - Nearby pump operating,153.270,0.000,153.270,86.440,86.440,-66.830,153.270,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339090N1182940W003,,7/26/1996,00:00,,,132.380,0.000,132.380,86.440,86.440,-45.940,132.380,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339090N1182940W004,,11/28/1995,00:00,,,97.660,0.000,97.660,86.440,86.440,-11.220,97.660,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339090N1182940W004,,4/9/1996,00:00,,2 - Nearby pump operating,97.160,0.000,97.160,86.440,86.440,-10.720,97.160,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339090N1182940W004,,4/18/1996,00:00,,2 - Nearby pump operating,97.200,0.000,97.200,86.440,86.440,-10.760,97.200,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339090N1182940W004,,5/30/1996,00:00,,2 - Nearby pump operating,97.130,0.000,97.130,86.440,86.440,-10.690,97.130,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339090N1182940W004,,5/31/1996,00:00,,2 - Nearby pump operating,97.190,0.000,97.190,86.440,86.440,-10.750,97.190,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339090N1182940W004,,6/5/1996,00:00,,2 - Nearby pump operating,96.530,0.000,96.530,86.440,86.440,-10.090,96.530,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339090N1182940W004,,6/28/1996,00:00,,,97.670,0.000,97.670,86.440,86.440,-11.230,97.670,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339090N1182940W004,,7/11/1996,00:00,,,97.640,0.000,97.640,86.440,86.440,-11.200,97.640,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339090N1182940W004,,7/26/1996,00:00,,,97.570,0.000,97.570,86.440,86.440,-11.130,97.570,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339090N1182940W004,,8/5/1996,00:00,,2 - Nearby pump operating,97.640,0.000,97.640,86.440,86.440,-11.200,97.640,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339442N1180999W001,,8/22/1995,00:00,,,44.730,0.000,44.730,130.980,130.980,86.250,44.730,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339553N1181720W001,,8/22/1995,00:00,,,61.650,0.000,61.650,110.010,110.010,48.360,61.650,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339595N1182840W001,,11/29/1995,00:00,,,162.200,0.000,162.200,134.310,134.310,-27.890,162.200,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339606N1180888W001,,7/20/1992,00:00,,,29.240,0.000,29.240,162.370,162.370,133.130,29.240,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339606N1180888W001,,8/14/1992,00:00,,,34.460,0.000,34.460,162.370,162.370,127.910,34.460,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339606N1180888W001,,9/30/1992,00:00,,,44.620,0.000,44.620,162.370,162.370,117.750,44.620,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339606N1180888W001,,11/23/1992,00:00,,,32.980,0.000,32.980,162.370,162.370,129.390,32.980,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339606N1180888W001,,12/9/1992,00:00,,,32.690,0.000,32.690,162.370,162.370,129.680,32.690,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339606N1180888W001,,1/20/1993,00:00,,,22.870,0.000,22.870,162.370,162.370,139.500,22.870,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339606N1180888W001,,2/19/1993,00:00,,,17.490,0.000,17.490,162.370,162.370,144.880,17.490,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339606N1180888W001,,4/12/1993,00:00,,,17.990,0.000,17.990,162.370,162.370,144.380,17.990,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339606N1180888W001,,11/17/1993,00:00,,,22.960,0.000,22.960,162.370,162.370,139.410,22.960,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339606N1180888W001,,3/10/1994,00:00,,,28.520,0.000,28.520,162.370,162.370,133.850,28.520,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339606N1180888W001,,4/4/1994,00:00,,,20.830,0.000,20.830,162.370,162.370,141.540,20.830,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339606N1180888W001,,4/5/1994,00:00,,,21.080,0.000,21.080,162.370,162.370,141.290,21.080,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339606N1180888W001,,4/7/1994,00:00,,,22.270,0.000,22.270,162.370,162.370,140.100,22.270,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339606N1180888W001,,4/21/1994,00:00,,,22.690,0.000,22.690,162.370,162.370,139.680,22.690,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339606N1180888W001,,6/1/1994,00:00,,,22.530,0.000,22.530,162.370,162.370,139.840,22.530,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339606N1180888W001,,7/6/1994,00:00,,,21.810,0.000,21.810,162.370,162.370,140.560,21.810,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339606N1180888W001,,4/11/1995,00:00,,,15.780,0.000,15.780,162.370,162.370,146.590,15.780,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339606N1180888W001,,5/4/1995,00:00,,,18.790,0.000,18.790,162.370,162.370,143.580,18.790,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339606N1180888W001,,6/27/1995,00:00,,,18.480,0.000,18.480,162.370,162.370,143.890,18.480,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339606N1180888W001,,7/31/1995,00:00,,,16.430,0.000,16.430,162.370,162.370,145.940,16.430,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339606N1180888W001,,9/19/1995,00:00,,,28.570,0.000,28.570,162.370,162.370,133.800,28.570,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
339606N1180888W001,,9/29/1995,00:00,,,33.020,0.000,33.020,162.370,162.370,129.350,33.020,UNK - Unknown,Unknown,United States Geological Survey,Voluntary,,LosAngeles_01.01.1990-12.31.1996
