CASGEM ID,Local Well Number,Date,Military Time (PST),No Measurement,Questionable Measurement,Reading @RP,Reading @WS,RP to WS,RP Elevation,GS Elevation,WSE,GS to WS,Measurement Method,Measurement Accuracy,Collecting/ Co-op Agency,Voluntary or CASGEM Measurement,Comments,Mendocino_06.21.1983-06.21.2013
389812N1230889W001,SV-1,12/10/2012,14:05,,,10.110,0.000,10.110,525.480,522.830,515.370,7.460,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389812N1230889W001,SV-1,1/29/2013,12:15,,,8.990,0.000,8.990,525.480,522.830,516.490,6.340,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389812N1230889W001,SV-1,2/27/2013,10:45,,,8.910,0.000,8.910,525.480,522.830,516.570,6.260,ES - Electric sounder measurement,0.01 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389812N1230889W001,SV-1,11/27/2012,00:00,,,10.600,0.000,10.600,525.830,522.830,515.230,7.600,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389812N1230889W001,SV-1,4/24/2013,00:00,,,8.700,0.000,8.700,525.830,522.830,517.130,5.700,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,CASGEM,,Mendocino_06.21.1983-06.21.2013
389882N1231186W001,,5/3/2012,00:00,,,14.400,0.000,14.400,493.330,492.830,478.930,13.900,ES - Electric sounder measurement,0.1 Ft,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389882N1231186W001,,4/12/1990,00:00,,,15.100,0.000,15.100,493.330,492.830,478.230,14.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389882N1231186W001,,11/20/1990,00:00,9 - Temporarily inaccessible,,,,,493.330,492.830,,,,,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389882N1231186W001,,4/25/1991,00:00,9 - Temporarily inaccessible,,,,,493.330,492.830,,,,,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389882N1231186W001,,9/27/1991,00:00,,,14.800,0.000,14.800,493.330,492.830,478.530,14.300,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389882N1231186W001,,4/25/1989,00:00,,,11.900,0.000,11.900,493.330,492.830,481.430,11.400,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389882N1231186W001,,11/1/1988,00:00,,,14.600,0.000,14.600,493.330,492.830,478.730,14.100,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389882N1231186W001,,4/14/1988,00:00,,,14.000,0.000,14.000,493.330,492.830,479.330,13.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389882N1231186W001,,10/20/1987,00:00,,,14.700,0.000,14.700,493.330,492.830,478.630,14.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389882N1231186W001,,4/22/1987,00:00,4 - Can't get tape in casing,,,,,493.330,492.830,,,,,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389882N1231186W001,,10/15/1986,00:00,,,14.200,0.000,14.200,493.330,492.830,479.130,13.700,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389882N1231186W001,,4/2/1986,00:00,,,12.000,0.000,12.000,493.330,492.830,481.330,11.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389882N1231186W001,,10/29/1985,00:00,,,14.000,0.000,14.000,493.330,492.830,479.330,13.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389882N1231186W001,,4/2/1985,00:00,,,11.100,0.000,11.100,493.330,492.830,482.230,10.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389882N1231186W001,,10/16/1984,00:00,,,14.000,0.000,14.000,493.330,492.830,479.330,13.500,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389882N1231186W001,,3/22/1984,00:00,,,11.100,0.000,11.100,493.330,492.830,482.230,10.600,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
389882N1231186W001,,10/18/1983,00:00,,,13.700,0.000,13.700,493.330,492.830,479.630,13.200,UNK - Unknown,Unknown,Department of Water Resources,Voluntary,,Mendocino_06.21.1983-06.21.2013
